id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,57866,10.10.3.254,0c:67:14:e9:bd:9f,0c:67:14,53,6,4,0,0,1787775779888,1787775779888,0,1,74,1787775779888,1787775779888,0,1,74,0,0,0,0,0,DNS,Network,1,1,,,,,
1,0,127.0.0.1,00:00:00:00:00:00,00:00:00,50488,127.0.0.53,ff:ff:ff:ff:ff:ff,ff:ff:ff,53,17,4,0,0,1787775782681,1787775787686,5005,4,340,1787775782681,1787775787686,5005,4,340,0,0,0,0,0,DNS.Canonical,Network,0,6,ntp.ubuntu.com,,,,
2,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,39144,10.10.3.254,0c:67:14:e9:bd:9f,0c:67:14,53,17,4,0,0,1787775782682,1787775782682,0,1,86,1787775782682,1787775782682,0,1,86,0,0,0,0,0,DNS,Network,0,6,ntp.ubuntu.com.localdomain,,,,
3,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,58947,10.10.3.254,0c:67:14:e9:bd:9f,0c:67:14,53,17,4,0,0,1787775782682,1787775782682,0,1,81,1787775782682,1787775782682,0,1,81,0,0,0,0,0,DNS.Canonical,Network,0,6,changelogs.ubuntu.com,,,,
4,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,39605,10.10.3.254,0c:67:14:e9:bd:9f,0c:67:14,53,17,4,0,0,1787775782682,1787775782682,0,1,74,1787775782682,1787775782682,0,1,74,0,0,0,0,0,DNS.Canonical,Network,0,6,ntp.ubuntu.com,,,,
5,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,33151,10.10.3.254,0c:67:14:e9:bd:9f,0c:67:14,53,17,4,0,0,1787775782682,1787775787686,5004,2,186,1787775782682,1787775787686,5004,2,186,0,0,0,0,0,DNS,Network,0,6,changelogs.ubuntu.com.localdomain,,,,
6,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,45702,10.10.3.254,0c:67:14:e9:bd:9f,0c:67:14,53,17,4,0,0,1787775782682,1787775782682,0,1,86,1787775782682,1787775782682,0,1,86,0,0,0,0,0,DNS,Network,0,6,ntp.ubuntu.com.localdomain,,,,
7,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,51347,10.10.4.10,0c:67:14:e9:bd:9f,0c:67:14,10051,6,4,0,0,1787775786005,1787775786018,13,10,975,1787775786005,1787775786017,12,5,539,1787775786006,1787775786018,12,5,436,Zabbix,Network,0,6,,,,,
8,0,172.18.0.8,b4:8c:9d:5b:7f:35,b4:8c:9d,33074,172.18.0.2,0c:67:14:e9:bd:9f,0c:67:14,27017,6,4,0,0,1787775799600,1787775922480,122880,12,792,1787775799600,1787775922480,122880,6,396,1787775799600,1787775922480,122880,6,396,MongoDB,Database,1,1,,,,,
9,0,172.18.0.4,b4:8c:9d:5b:7f:35,b4:8c:9d,40994,172.18.0.2,0c:67:14:e9:bd:9f,0c:67:14,27017,6,4,0,0,1787775799600,1787775922480,122880,12,792,1787775799600,1787775922480,122880,6,396,1787775799600,1787775922480,122880,6,396,MongoDB,Database,1,1,,,,,
10,0,172.18.0.8,b4:8c:9d:5b:7f:35,b4:8c:9d,33074,172.18.0.2,0c:67:14:e9:bd:9f,0c:67:14,27017,6,4,0,0,1787776045360,1787776168240,122880,12,792,1787776045360,1787776168240,122880,6,396,1787776045360,1787776168240,122880,6,396,MongoDB,Database,1,1,,,,,
11,0,10.10.2.10,b4:8c:9d:5b:7f:35,b4:8c:9d,43918,10.10.3.20,0c:67:14:e9:bd:9f,0c:67:14,22,6,4,0,0,1787775948768,1787776240977,292209,329,46955,1787775948768,1787776240977,292209,181,17224,1787775948768,1787776240934,292166,148,29731,SSH,RemoteAccess,0,6,,7FAF49B853CE29FA6103BA596A35FFB2,E42184B06D45385A906F0803D04C83DA,,
12,0,172.18.0.8,b4:8c:9d:5b:7f:35,b4:8c:9d,33074,172.18.0.2,0c:67:14:e9:bd:9f,0c:67:14,27017,6,4,0,0,1787776291120,1787776291120,0,4,264,1787776291120,1787776291120,0,2,132,1787776291120,1787776291120,0,2,132,MongoDB,Database,1,1,,,,,
13,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,59125,10.10.4.10,0c:67:14:e9:bd:9f,0c:67:14,10051,6,4,0,0,1787775901006,1787775901011,5,10,1002,1787775901006,1787775901010,4,5,567,1787775901007,1787775901011,4,5,435,Zabbix,Network,0,6,,,,,
14,0,10.10.2.10,b4:8c:9d:5b:7f:35,b4:8c:9d,57806,10.10.3.20,0c:67:14:e9:bd:9f,0c:67:14,22,6,4,0,0,1787776388470,1787776388978,508,37,8231,1787776388470,1787776388978,508,18,3302,1787776388470,1787776388936,466,19,4929,SSH,RemoteAccess,0,6,,7FAF49B853CE29FA6103BA596A35FFB2,E42184B06D45385A906F0803D04C83DA,,
15,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,33007,10.10.4.10,0c:67:14:e9:bd:9f,0c:67:14,10051,6,4,0,0,1787776206006,1787776206012,6,10,857,1787776206006,1787776206011,5,5,476,1787776206007,1787776206012,5,5,381,Zabbix,Network,0,6,,,,,
16,0,172.18.0.4,b4:8c:9d:5b:7f:35,b4:8c:9d,40994,172.18.0.2,0c:67:14:e9:bd:9f,0c:67:14,27017,6,4,0,0,1787776045360,1787776168240,122880,12,792,1787776045360,1787776168240,122880,6,396,1787776045360,1787776168240,122880,6,396,MongoDB,Database,1,1,,,,,
17,0,172.18.0.8,b4:8c:9d:5b:7f:35,b4:8c:9d,33074,172.18.0.2,0c:67:14:e9:bd:9f,0c:67:14,27017,6,4,0,0,1787776414000,1787776536880,122880,12,792,1787776414000,1787776536880,122880,6,396,1787776414000,1787776536880,122880,6,396,MongoDB,Database,1,1,,,,,
18,0,172.18.0.4,b4:8c:9d:5b:7f:35,b4:8c:9d,40994,172.18.0.2,0c:67:14:e9:bd:9f,0c:67:14,27017,6,4,0,0,1787776291120,1787776291120,0,4,264,1787776291120,1787776291120,0,2,132,1787776291120,1787776291120,0,2,132,MongoDB,Database,1,1,,,,,
19,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,59407,10.10.4.10,0c:67:14:e9:bd:9f,0c:67:14,10051,6,4,0,0,1787776256006,1787776256013,7,10,978,1787776256006,1787776256012,6,5,543,1787776256007,1787776256013,6,5,435,Zabbix,Network,0,6,,,,,
20,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,32857,10.10.4.10,0c:67:14:e9:bd:9f,0c:67:14,10051,6,4,0,0,1787776331006,1787776331011,5,10,857,1787776331006,1787776331010,4,5,476,1787776331007,1787776331011,4,5,381,Zabbix,Network,0,6,,,,,
21,0,172.18.0.8,b4:8c:9d:5b:7f:35,b4:8c:9d,33074,172.18.0.2,0c:67:14:e9:bd:9f,0c:67:14,27017,6,4,0,0,1787776659760,1787776659760,0,4,264,1787776659760,1787776659760,0,2,132,1787776659760,1787776659760,0,2,132,MongoDB,Database,1,1,,,,,
22,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,34859,10.10.4.10,0c:67:14:e9:bd:9f,0c:67:14,10051,6,4,0,0,1787775956006,1787775956011,5,10,979,1787775956006,1787775956010,4,5,544,1787775956007,1787775956011,4,5,435,Zabbix,Network,0,6,,,,,
23,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,43785,10.10.4.10,0c:67:14:e9:bd:9f,0c:67:14,10051,6,4,0,0,1787776391005,1787776391012,7,10,989,1787776391005,1787776391011,6,5,554,1787776391007,1787776391012,5,5,435,Zabbix,Network,0,6,,,,,
24,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,36343,10.10.4.10,0c:67:14:e9:bd:9f,0c:67:14,10051,6,4,0,0,1787776171005,1787776171011,6,10,1004,1787776171005,1787776171010,5,5,568,1787776171006,1787776171011,5,5,436,Zabbix,Network,0,6,,,,,
25,0,172.18.0.4,b4:8c:9d:5b:7f:35,b4:8c:9d,40994,172.18.0.2,0c:67:14:e9:bd:9f,0c:67:14,27017,6,4,0,0,1787776414000,1787776536880,122880,12,792,1787776414000,1787776536880,122880,6,396,1787776414000,1787776536880,122880,6,396,MongoDB,Database,1,1,,,,,
26,0,172.18.0.8,b4:8c:9d:5b:7f:35,b4:8c:9d,33074,172.18.0.2,0c:67:14:e9:bd:9f,0c:67:14,27017,6,4,0,0,1787776782640,1787776905520,122880,12,792,1787776782640,1787776905520,122880,6,396,1787776782640,1787776905520,122880,6,396,MongoDB,Database,1,1,,,,,
27,0,172.18.0.4,b4:8c:9d:5b:7f:35,b4:8c:9d,40994,172.18.0.2,0c:67:14:e9:bd:9f,0c:67:14,27017,6,4,0,0,1787776659760,1787776659760,0,4,264,1787776659760,1787776659760,0,2,132,1787776659760,1787776659760,0,2,132,MongoDB,Database,1,1,,,,,
28,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,41522,10.10.3.254,0c:67:14:e9:bd:9f,0c:67:14,53,17,4,0,0,1787775857756,1787775857756,0,1,86,1787775857756,1787775857756,0,1,86,0,0,0,0,0,DNS,Network,0,6,ntp.ubuntu.com.localdomain,,,,
29,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,43825,10.10.4.10,0c:67:14:e9:bd:9f,0c:67:14,10051,6,4,0,0,1787775871005,1787775871010,5,10,1002,1787775871005,1787775871009,4,5,567,1787775871006,1787775871010,4,5,435,Zabbix,Network,0,6,,,,,
30,0,172.18.0.8,b4:8c:9d:5b:7f:35,b4:8c:9d,33074,172.18.0.2,0c:67:14:e9:bd:9f,0c:67:14,27017,6,4,0,0,1787777028400,1787777151280,122880,12,792,1787777028400,1787777151280,122880,6,396,1787777028400,1787777151280,122880,6,396,MongoDB,Database,1,1,,,,,
31,0,172.18.0.8,b4:8c:9d:5b:7f:35,b4:8c:9d,33074,172.18.0.2,0c:67:14:e9:bd:9f,0c:67:14,27017,6,4,0,0,1787777274160,1787777274160,0,4,264,1787777274160,1787777274160,0,2,132,1787777274160,1787777274160,0,2,132,MongoDB,Database,1,1,,,,,
32,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,39581,10.10.4.10,0c:67:14:e9:bd:9f,0c:67:14,10051,6,4,0,0,1787776531006,1787776531017,11,10,857,1787776531006,1787776531016,10,5,476,1787776531007,1787776531017,10,5,381,Zabbix,Network,0,6,,,,,
33,0,172.18.0.4,b4:8c:9d:5b:7f:35,b4:8c:9d,40994,172.18.0.2,0c:67:14:e9:bd:9f,0c:67:14,27017,6,4,0,0,1787776782640,1787776905520,122880,12,792,1787776782640,1787776905520,122880,6,396,1787776782640,1787776905520,122880,6,396,MongoDB,Database,1,1,,,,,
34,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,38689,10.10.3.254,0c:67:14:e9:bd:9f,0c:67:14,53,17,4,0,0,1787776988846,1787776988846,0,1,86,1787776988846,1787776988846,0,1,86,0,0,0,0,0,DNS,Network,0,6,ntp.ubuntu.com.localdomain,,,,
35,1,172.18.0.9,b4:8c:9d:5b:7f:35,b4:8c:9d,54154,172.18.0.10,0c:67:14:e9:bd:9f,0c:67:14,7777,6,4,0,0,1787775782767,1787777573712,1790945,1804,207242,1787775782767,1787777573712,1790945,1082,146892,1787775782768,1787777573712,1790944,722,60350,Unknown,Unspecified,0,0,,,,,
