Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.10.3.20-10.10.4.10-37539-10051-6,10.10.3.20,37539,10.10.4.10,10051,6,27/08/2026 11:22:01 PM,4733,3,4,138.0,43.0,138.0,0.0,46.0,79.67433714816836,43.0,0.0,10.75,21.5,38242.129727445594,1478.977392774139,788.8333333333334,829.2908818181149,1828.0,0.0,3567.0,1783.5,62.932503525602726,1828.0,1739.0,3073.0,1024.3333333333335,1652.7475104604857,2931.0,0.0,0,0,0,0,104,136,633.8474540460595,845.1299387280794,0.0,138.0,22.625,48.98669644476374,2399.6964285714284,1,2,0,2,6,0,0,0,1.0,25.857142857142858,46.0,10.75,0,0,0,0,0,0,0,19,0,6,64240,508,1,32,0,0,0,0,1787862121007960.8,1670.1152405348162,1787862121009160.0,1787862121005530.0,No Label
10.10.3.20-10.10.4.10-56123-10051-6,10.10.3.20,56123,10.10.4.10,10051,6,27/08/2026 11:22:01 PM,4709,3,4,226.0,98.0,226.0,0.0,75.33333333333333,130.48116083685542,98.0,0.0,24.5,49.00000000000001,68804.41707368869,1486.5151836908049,784.8333333333333,860.1203210404151,2001.0,2.0,3742.0,1871.0,183.84776310850236,2001.0,1741.0,3072.0,1024.0,1652.0859541803507,2930.0,2.0,0,0,0,0,104,136,637.0779358674878,849.4372478233171,0.0,226.0,40.50000000000001,82.42572413997951,6794.0,1,2,0,2,6,0,0,0,1.0,46.285714285714285,75.33333333333333,24.5,0,0,0,0,0,0,0,32,0,14,64240,508,1,32,0,0,0,0,1787862121008023.5,1726.358969527099,1787862121009358.0,1787862121005580.0,No Label
10.10.3.20-10.10.4.10-37539-10051-6,10.10.3.20,37539,10.10.4.10,10051,6,27/08/2026 11:22:01 PM,193,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,10362.694300518135,193.0,0.0,193.0,193.0,193.0,193.0,0.0,193.0,193.0,0,0,0,0,0,0,0,0,0,64,0,10362.694300518135,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,126,0,0,32,0,0,0,0,0,0,0,0,No Label
10.10.3.20-10.10.4.10-56123-10051-6,10.10.3.20,56123,10.10.4.10,10051,6,27/08/2026 11:22:01 PM,760,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2631.578947368421,760.0,0.0,760.0,760.0,760.0,760.0,0.0,760.0,760.0,0,0,0,0,0,0,0,0,0,64,0,2631.578947368421,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,126,0,0,32,0,0,0,0,0,0,0,0,No Label
10.10.3.20-10.10.4.10-50395-10051-6,10.10.3.20,50395,10.10.4.10,10051,6,27/08/2026 11:22:06 PM,4063,3,4,202.0,97.0,202.0,0.0,67.33333333333333,116.62475437630441,97.0,0.0,24.25,48.49999999999999,73590.94265321191,1722.864878168841,677.1666666666667,636.7126248682891,1667.0,2.0,2480.0,1240.0,738.2194795587557,1762.0,718.0,2396.0,798.6666666666667,1013.199059086285,1939.0,2.0,0,0,0,0,104,136,738.3706620723603,984.4942160964805,0.0,202.0,37.37499999999999,74.67823836777542,5576.839285714284,1,2,0,2,6,0,0,0,1.0,42.714285714285715,67.33333333333333,24.25,0,0,0,0,0,0,0,28,0,13,64240,508,1,32,0,0,0,0,1787862126008484.8,1343.7851623306458,1787862126009344.0,1787862126006504.0,No Label
10.10.3.20-10.10.4.10-50395-10051-6,10.10.3.20,50395,10.10.4.10,10051,6,27/08/2026 11:22:06 PM,892,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2242.152466367713,892.0,0.0,892.0,892.0,892.0,892.0,0.0,892.0,892.0,0,0,0,0,0,0,0,0,0,64,0,2242.152466367713,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,126,0,0,32,0,0,0,0,0,0,0,0,No Label
10.10.3.20-10.10.4.10-46981-10051-6,10.10.3.20,46981,10.10.4.10,10051,6,27/08/2026 11:22:06 PM,10956,3,4,138.0,43.0,138.0,0.0,46.0,79.67433714816836,43.0,0.0,10.75,21.5,16520.6279664111,638.9193136181087,1826.0,2765.6068411833235,7322.0,1.0,2589.0,1294.5,662.559053971795,1763.0,826.0,9265.0,3088.333333333333,3792.7325681272773,7322.0,1.0,0,0,0,0,104,136,273.82256297918946,365.0967506389193,0.0,138.0,22.625,48.98669644476374,2399.6964285714284,1,2,0,2,6,0,0,0,1.0,25.857142857142858,46.0,10.75,0,0,0,0,0,0,0,19,0,6,64240,508,1,32,0,0,0,0,1787862126010210.8,4237.568000929306,1787862126016295.0,1787862126006456.0,No Label
10.10.3.20-10.10.4.10-46981-10051-6,10.10.3.20,46981,10.10.4.10,10051,6,27/08/2026 11:22:06 PM,156,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,12820.51282051282,156.0,0.0,156.0,156.0,156.0,156.0,0.0,156.0,156.0,0,0,0,0,0,0,0,0,0,64,0,12820.51282051282,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,126,0,0,32,0,0,0,0,0,0,0,0,No Label
10.10.3.20-10.10.4.10-37765-10051-6,10.10.3.20,37765,10.10.4.10,10051,6,27/08/2026 11:22:06 PM,2308,3,3,111.0,0.0,111.0,0.0,37.0,64.08587988004847,0.0,0.0,0.0,0.0,48093.58752166377,2599.6533795493933,461.6,425.98039861007686,1008.0,38.0,1159.0,579.5,381.1305550595491,849.0,310.0,1497.0,748.5,859.1347391416552,1356.0,141.0,0,0,0,0,104,104,1299.8266897746967,1299.8266897746967,0.0,111.0,15.857142857142858,41.95405650402422,1760.142857142857,1,2,0,1,5,0,0,0,1.0,18.5,37.0,0.0,0,0,0,0,0,0,0,18,0,0,64240,509,1,32,0,0,0,0,1787862126018693.2,915.0287222267943,1787862126019545.0,1787862126017726.0,No Label
10.10.3.20-10.10.4.10-43643-10051-6,10.10.3.20,43643,10.10.4.10,10051,6,27/08/2026 11:22:11 PM,4511,4,4,138.0,43.0,138.0,0.0,34.5,69.0,43.0,0.0,10.75,21.5,40124.1409886943,1773.4426956328973,644.4285714285714,677.4168724261442,1782.0,39.0,4323.0,1441.0,495.3372588449207,1844.0,888.0,2729.0,909.6666666666667,1118.939378757104,2201.0,227.0,0,0,0,0,136,136,886.7213478164487,886.7213478164487,0.0,138.0,20.11111111111111,46.43932720347175,2156.6111111111113,1,2,0,2,7,0,0,0,1.0,22.625,34.5,10.75,0,0,0,0,0,0,0,17,0,5,64240,508,1,32,0,0,0,0,1787862131008403.5,1491.491598199601,1787862131009849.0,1787862131005889.0,No Label
